Timestamp            ,X          ,Y           ,Z
1741254456.101217568 ,1.50936    ,-6.55459    ,0.0549915
1741254457.501122167 ,1.50412    ,-6.56759    ,0.0549881
1741254457.901601687 ,1.49338    ,-6.57359    ,0.0549923
1741254459.102712058 ,1.49989    ,-6.61307    ,0.0549988
1741254459.202993512 ,1.50746    ,-6.66899    ,0.0549991
1741254459.303394291 ,1.51537    ,-6.72744    ,0.0549994
1741254459.403391294 ,1.52363    ,-6.78842    ,0.0549996
1741254459.503500792 ,1.53222    ,-6.85194    ,0.0549996
1741254459.603558925 ,1.54116    ,-6.91802    ,0.0549997
1741254459.703533681 ,1.55045    ,-6.98663    ,0.0549995
1741254459.803603915 ,1.55993    ,-7.05674    ,0.0549996
1741254459.903679256 ,1.56934    ,-7.12623    ,0.0549971
1741254460.3727327   ,1.57184    ,-7.14472    ,0.0549991
1741254460.504539830 ,1.57775    ,-7.129      ,0.0549878
1741254460.804610429 ,1.56365    ,-7.1293     ,0.0549922
1741254461.4683932   ,1.55232    ,-7.13022    ,0.0549941
1741254461.205201995 ,1.54152    ,-7.12926    ,0.0549936
1741254461.405643711 ,1.53054    ,-7.12696    ,0.0549835
1741254461.605558482 ,1.51873    ,-7.12387    ,0.054989
1741254461.905553467 ,1.50732    ,-7.11573    ,0.0549869
1741254462.206572658 ,1.49842    ,-7.10459    ,0.0549937
1741254462.506738756 ,1.4897     ,-7.09028    ,0.0549865
1741254462.706892117 ,1.48582    ,-7.08017    ,0.0549958
1741254463.7545222   ,1.48481    ,-7.06593    ,0.0549883
1741254463.207654074 ,1.48577    ,-7.0556     ,0.0549933
1741254463.507613310 ,1.49142    ,-7.04295    ,0.0549899
1741254463.707706703 ,1.49697    ,-7.0328     ,0.0549879
1741254464.8595996   ,1.50779    ,-7.02076    ,0.0549858
1741254464.209564164 ,1.51204    ,-6.98277    ,0.0549918
1741254464.309544005 ,1.49552    ,-6.92089    ,0.054999
1741254464.409667250 ,1.47805    ,-6.85658    ,0.0549994
1741254464.509654664 ,1.4599     ,-6.7898     ,0.054999
1741254464.609703860 ,1.44142    ,-6.72176    ,0.0549991
1741254464.710333017 ,1.4229     ,-6.65361    ,0.0549985
1741254464.810633637 ,1.40437    ,-6.58542    ,0.0549987
1741254464.910630317 ,1.38586    ,-6.51732    ,0.0549989
1741254465.10631042  ,1.36736    ,-6.44924    ,0.0549984
1741254465.110592744 ,1.34885    ,-6.38112    ,0.0549985
1741254465.210635535 ,1.33035    ,-6.31305    ,0.0549982
1741254465.310676530 ,1.31186    ,-6.245      ,0.0549989
1741254465.410691012 ,1.29335    ,-6.17689    ,0.0549989
1741254465.510723733 ,1.27487    ,-6.10887    ,0.0549989
1741254465.611213389 ,1.25639    ,-6.04085    ,0.0549997
1741254465.711580889 ,1.23786    ,-5.97265    ,0.0549992
1741254465.811617983 ,1.21935    ,-5.90454    ,0.0549987
1741254465.911661901 ,1.20083    ,-5.83636    ,0.054999
1741254466.11691515  ,1.18231    ,-5.7682     ,0.0549988
1741254466.112490719 ,1.16379    ,-5.70006    ,0.054999
1741254466.212552971 ,1.14529    ,-5.63196    ,0.0549986
1741254466.312624349 ,1.12677    ,-5.5638     ,0.0549986
1741254466.412666579 ,1.10752    ,-5.49294    ,0.0549993
1741254466.512526537 ,1.0876     ,-5.41964    ,0.0549991
1741254466.612685042 ,1.06686    ,-5.34333    ,0.0549996
1741254466.712773354 ,1.0453     ,-5.26401    ,0.0549993
1741254466.813056907 ,1.0231     ,-5.18229    ,0.0549988
1741254466.913308895 ,1.00069    ,-5.09981    ,0.0549988
1741254467.13533995  ,0.981558   ,-5.02937    ,0.0549996
1741254467.113581178 ,0.977771   ,-5.01245    ,0.0549931
1741254467.213507556 ,0.978421   ,-5.00228    ,0.0549928
1741254467.413693262 ,0.994236   ,-4.99298    ,0.054979
1741254467.714182513 ,0.962075   ,-4.94003    ,0.0549984
1741254467.804413965 ,0.921261   ,-4.88781    ,0.0549992
1741254467.904510522 ,0.874421   ,-4.82788    ,0.0549991
1741254468.4536597   ,0.826008   ,-4.76593    ,0.0549988
1741254468.104543609 ,0.776025   ,-4.70198    ,0.0549989
1741254468.214608538 ,0.719231   ,-4.62931    ,0.054999
1741254468.314544689 ,0.666642   ,-4.56202    ,0.054999
1741254468.414671654 ,0.612737   ,-4.49304    ,0.0549992
1741254468.504773390 ,0.562633   ,-4.42893    ,0.0549989
1741254468.605273277 ,0.504859   ,-4.35498    ,0.0549996
1741254468.705537021 ,0.444894   ,-4.27824    ,0.0549995
1741254468.805559165 ,0.382684   ,-4.19863    ,0.0549996
1741254468.905589316 ,0.318237   ,-4.11615    ,0.0549996
1741254469.5653042   ,0.251485   ,-4.0307     ,0.0549996
1741254469.105680007 ,0.182407   ,-3.94229    ,0.0549997
1741254469.205798178 ,0.111746   ,-3.85186    ,0.0549992
1741254469.305748252 ,0.0395065  ,-3.75942    ,0.054999
1741254469.406247245 ,-0.0343024 ,-3.66496    ,0.0549987
1741254469.506546080 ,-0.109685  ,-3.5685     ,0.0549987
1741254469.606542682 ,-0.186552  ,-3.47012    ,0.0549988
1741254469.706501729 ,-0.263895  ,-3.37115    ,0.0549987
1741254469.806557379 ,-0.341188  ,-3.27223    ,0.054999
1741254469.906561244 ,-0.418511  ,-3.17328    ,0.0549987
1741254470.6621502   ,-0.495793  ,-3.07438    ,0.0549986
1741254470.106895303 ,-0.573248  ,-2.97526    ,0.0549989
1741254470.207325938 ,-0.650709  ,-2.87614    ,0.0549985
1741254470.307636178 ,-0.728117  ,-2.77707    ,0.0549986
1741254470.407489960 ,-0.805562  ,-2.67796    ,0.0549987
1741254470.507551390 ,-0.882962  ,-2.57891    ,0.0549989
1741254470.607613793 ,-0.960391  ,-2.47982    ,0.0549984
1741254470.707649893 ,-1.03778   ,-2.38078    ,0.0549989
1741254470.807632669 ,-1.11523   ,-2.28166    ,0.0549983
1741254470.907738791 ,-1.19263   ,-2.18259    ,0.0549985
1741254471.7748990   ,-1.27005   ,-2.08351    ,0.0549985
1741254471.108280458 ,-1.34752   ,-1.98437    ,0.054999
1741254471.208529118 ,-1.42494   ,-1.88529    ,0.0549988
1741254471.308550810 ,-1.50233   ,-1.78624    ,0.0549992
1741254471.408591781 ,-1.5798    ,-1.68709    ,0.0549988
1741254471.508560885 ,-1.65722   ,-1.588      ,0.0549988
1741254471.608597707 ,-1.73461   ,-1.48895    ,0.0549987
1741254471.708761568 ,-1.81205   ,-1.38984    ,0.0549988
1741254471.808793230 ,-1.88949   ,-1.29072    ,0.0549988
1741254471.908715047 ,-1.96691   ,-1.19163    ,0.0549986
1741254472.8761322   ,-2.04437   ,-1.09248    ,0.0549987
1741254472.108997745 ,-2.12183   ,-0.993338   ,0.0549986
